bucket	T_h	n	R_act_mean	R_flip_mean	dR	amp_mean_pct	cap_pct	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0,0.05)	1	531	0.7876316464466384	0.781828938887727	0.00580270755891149	0.64883989822817	0.003765028181971964	-0.011068631126545474	0.02233702773605286	-0.022199115567655307	0.03199604975844577	-0.007115492002621491	0.014863697120831057	-0.014020993965821687	0.021935715483270828
[0,0.05)	4	531	0.7883264031805245	0.7756662107386383	0.012660192441886176	1.3806162473745494	0.017478867380156523	-0.007074009858667723	0.0308284530711391	-0.018525527859780653	0.04080101286868604	-0.00967572784321293	0.043439255779538784	-0.0249554817314694	0.05943250057279787
[0,0.05)	12	531	0.7940523531244047	0.7736898971261227	0.020362455998282084	2.815958960146516	0.0573398404189516	0.004168910991931796	0.03677822045881748	-0.005749556307204152	0.045556918115050304	0.01140750994530247	0.10742570359725688	-0.01506167655012649	0.13926587491565948
[0,0.05)	24	531	0.7894805665214706	0.7738046170407408	0.015675949480729652	4.2663220117958485	0.06687864832543662	0.0003285719972877803	0.0314991411082759	-0.008552694327199946	0.041470530250724516	0.0013589588938881722	0.13820984059752212	-0.03511250807102275	0.18606112493335472
[0.05,0.10)	1	459	0.7745904863141504	0.7803210225372141	-0.005730536223063825	0.7039617455148522	-0.004034078282324099	-0.020792274339095567	0.01058800904658265	-0.02892335677282022	0.01992596983367611	-0.014542439833513074	0.007525819424127807	-0.02007945491597144	0.014588636077447743
[0.05,0.10)	4	459	0.7811887850192251	0.7758794692610816	0.005309315758143516	1.584837249977361	0.008414401385397638	-0.010559874112829519	0.02063676964342061	-0.019737057221843907	0.029354721094514428	-0.01618071616139462	0.03430245600734084	-0.029697251597067195	0.05107919380405043
[0.05,0.10)	12	459	0.7695034021509594	0.7738728843437568	-0.004369482192797597	2.9825909498190013	-0.013032378043633398	-0.01993836231613161	0.011940080282990704	-0.02957681664809427	0.021486009628572875	-0.05857109948450591	0.03641402412012657	-0.08620625526911932	0.06650869524538155
[0.05,0.10)	24	459	0.7806562697463686	0.773828303253132	0.006827966493236644	4.5891557060783335	0.031334601393348614	-0.009026374694832542	0.023446736769853628	-0.018242904674109706	0.03404183552626217	-0.0403878551182906	0.11040408935653793	-0.08072570056908362	0.16783056846306946
[0.10,0.25)	1	1335	0.7791955762119687	0.7808675382213418	-0.0016719620093731138	0.8624700532857431	-0.0014420171633157675	-0.013516964256656678	0.010215948119928162	-0.02021100431453318	0.016386637070860213	-0.011398842773117144	0.009088196720911578	-0.016523930991160753	0.014952054662247924
[0.10,0.25)	4	1335	0.7786286519977925	0.7754514866936759	0.003177165304116432	1.8665560928136422	0.005930357256274635	-0.0073518534379116455	0.013997248872806305	-0.013601310451094169	0.020609599942970725	-0.013478271860199382	0.02685516705165571	-0.02445520690810887	0.04045174291313838
