pair	ts	grade	bbw_pct_now	amp_24h	win4h	bucket
XRP/USDT	2025-01-28 15:15:00+00:00	B	0.50625	0.06308082230357646	2025-01-28 12:00:00+00:00	[0.50,0.75)
BNB/USDT	2025-01-29 04:00:00+00:00	B	0.9045138888888888	0.029198262534049977	2025-01-29 04:00:00+00:00	[0.75,1.00]
BNB/USDT	2025-01-29 19:30:00+00:00	B	0.46319444444444446	0.027632070537248764	2025-01-29 16:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-01-30 04:15:00+00:00	B	0.9704861111111112	0.07649313318428616	2025-01-30 04:00:00+00:00	[0.75,1.00]
BTC/USDT	2025-01-30 14:45:00+00:00	A	0.3211805555555556	0.023860804374447812	2025-01-30 12:00:00+00:00	[0.25,0.50)
ETH/USDT	2025-01-31 11:00:00+00:00	B	0.5649305555555556	0.0646655611169891	2025-01-31 08:00:00+00:00	[0.50,0.75)
BTC/USDT	2025-01-31 15:15:00+00:00	A	0.24965277777777778	0.04374026838458155	2025-01-31 12:00:00+00:00	[0.10,0.25)
LINK/USDT	2025-02-01 02:15:00+00:00	B	0.7711805555555555	0.1230709876543209	2025-02-01 00:00:00+00:00	[0.75,1.00]
BNB/USDT	2025-02-06 12:30:00+00:00	A	0.4354166666666667	0.03500341997264027	2025-02-06 12:00:00+00:00	[0.25,0.50)
BTC/USDT	2025-02-07 13:30:00+00:00	B	0.45902777777777776	0.04594002318534045	2025-02-07 12:00:00+00:00	[0.25,0.50)
DOGE/USDT	2025-02-09 01:00:00+00:00	A	0.1076388888888889	0.07959905660377366	2025-02-09 00:00:00+00:00	[0.10,0.25)
BNB/USDT	2025-02-09 07:00:00+00:00	B	0.8090277777777778	0.08249996025247625	2025-02-09 04:00:00+00:00	[0.75,1.00]
AVAX/USDT	2025-02-09 08:45:00+00:00	B	0.3954861111111111	0.08777429467084634	2025-02-09 08:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-02-10 00:00:00+00:00	B	0.8541666666666666	0.1373115464475942	2025-02-10 00:00:00+00:00	[0.75,1.00]
SOL/USDT	2025-02-10 13:45:00+00:00	A	0.29305555555555557	0.05394131185270426	2025-02-10 12:00:00+00:00	[0.25,0.50)
ADA/USDT	2025-02-10 22:15:00+00:00	A	0.10104166666666667	0.16645596291613998	2025-02-10 20:00:00+00:00	[0.10,0.25)
ETH/USDT	2025-02-11 00:30:00+00:00	A	0.4170138888888889	0.061588127091536424	2025-02-11 00:00:00+00:00	[0.25,0.50)
BNB/USDT	2025-02-11 04:30:00+00:00	B	0.8013888888888889	0.034107596835573	2025-02-11 04:00:00+00:00	[0.75,1.00]
ETH/USDT	2025-02-12 13:15:00+00:00	A	0.23958333333333334	0.09343584345276128	2025-02-12 12:00:00+00:00	[0.10,0.25)
ETH/USDT	2025-02-12 22:15:00+00:00	B	0.7715277777777778	0.06595187812494345	2025-02-12 20:00:00+00:00	[0.75,1.00]
BNB/USDT	2025-02-13 13:15:00+00:00	B	0.8163194444444445	0.1017431028058021	2025-02-13 12:00:00+00:00	[0.75,1.00]
