bucket	n	1h_p50	1h_p80	1h_p95	4h_p50	4h_p80	4h_p95	12h_p50	12h_p80	12h_p95	24h_p50	24h_p80	24h_p95
[0.00,0.05)	360	0.63	1.007	1.582	1.241	1.962	3.073	2.316	3.516	5.388	4.046	6.351	9.799
[0.05,0.10)	326	0.689	1.235	1.916	1.339	2.368	3.502	2.516	4.112	5.853	4.181	6.836	10.808
[0.10,0.25)	926	0.779	1.272	2.218	1.512	2.526	4.405	2.669	4.346	6.397	4.486	7.387	11.672
[0.25,0.50)	1397	0.892	1.428	2.468	1.755	2.822	4.437	2.992	4.64	6.995	4.878	7.508	11.399
[0.50,0.75)	1270	1.04	1.682	2.621	2.001	3.21	5.071	3.152	5.121	8.015	5.161	8.036	13.035
[0.75,1.00]	1171	1.32	2.177	3.609	2.407	3.972	6.727	3.561	5.936	10.957	5.772	9.111	15.251
