T_h	max_abs_d_amp	mean_abs_d_amp	max_abs_d_R	mean_abs_d_R	n_R_diff_gt_1e6
1	1.8067145002298446e-15	2.467544388350483e-16	1.7106316363424412e-12	3.509032995115776e-14	0
4	1.8596235662471372e-15	2.4543184455114094e-16	8.515410598874951e-13	1.708530961300953e-14	0
12	1.7832957333041577e-15	2.4476317700041205e-16	4.141131881851834e-13	9.052790580305891e-15	0
24	1.7832957333041577e-15	2.4440511351712146e-16	1.6542323066914832e-13	5.982315395309276e-15	0
