pair	date	err	bbw_ref	bbw_new	bucket_ref	bucket_new	amp_ref_1	amp_new_1	R_ref_1	R_new_1	amp_ref_4	amp_new_4	R_ref_4	R_new_4	amp_ref_12	amp_new_12	R_ref_12	R_new_12	amp_ref_24	amp_new_24	R_ref_24	R_new_24
BTC/USDT	2023-01-01 00:00:00		0.5427083333333333	0.5427083333333333	4	4	0.0022583802492504	0.0022583802492510685	0.6703296703294592	0.6703296703296898	0.0031100395927764	0.003110039592777447	0.7606072401711146	0.7606072401713008	0.0044435190055619	0.004443519005562169	0.7046723879580641	0.7046723879580417	0.0078713419354752	0.007871341935476228	0.8332820670562914	0.8332820670562907
BTC/USDT	2023-01-02 00:15:00		0.0489583333333333	0.04895833333333333	0	0	0.0030533292742826	0.0030533292742840334	0.7847976308000062	0.7847976307996507	0.0095578550135783	0.009557855013578642	0.7492904446546693	0.7492904446546813	0.0134617761153088	0.013461776115309076	0.8219963279745587	0.8219963279745639	0.0151026768625155	0.015102676862515763	0.8413363669021633	0.8413363669021674
BTC/USDT	2023-01-03 00:30:00		0.5815972222222222	0.5815972222222222	4	4	0.0032005115071139	0.003200511507114312	0.975682753460848	0.9756827534605131	0.0032005115071139	0.003200511507114312	0.975682753460848	0.9756827534605131	0.0076019631719679	0.007601963171966819	0.5892266498660593	0.5892266498660987	0.0103642452695772	0.010364245269577022	0.567814232902022	0.5678142329020475
BTC/USDT	2023-01-04 00:45:00		0.0416666666666666	0.041666666666666664	0	0	0.0047747580659203	0.00477475806591976	0.964173475801278	0.9641734758013953	0.015203597964771	0.015203597964770554	0.9887485195420114	0.9887485195420491	0.015684975207871	0.015684975207871488	0.9890938313178912	0.9890938313179284	0.0200587856448739	0.02005878564487429	0.9914719171728398	0.9914719171728689
BTC/USDT	2023-01-05 01:00:00		0.4857638888888889	0.4857638888888889	3	3	0.0017249290888898	0.0017249290888903257	0.8997243280498847	0.8997243280496013	0.0018503460557251	0.001850346055725538	0.838740764536048	0.8387407645358106	0.0041155785704611	0.004115578570460632	0.6229058347776248	0.6229058347775979	0.0075380946606843	0.007538094660684558	0.5589023813279715	0.55890238132788
BTC/USDT	2023-01-06 01:15:00		0.1805555555555555	0.18055555555555555	2	2	0.0031607940493764	0.003160794049376525	0.9639571991740892	0.9639571991740371	0.0031607940493764	0.003160794049376525	0.9639571991740892	0.9639571991740371	0.0101137102631173	0.010113710263116582	0.9887356996186796	0.9887356996186619	0.0214793963933608	0.02147939639336005	0.5183425414364397	0.5183425414364607
BTC/USDT	2023-01-07 01:30:00		0.5760416666666667	0.5760416666666667	4	4	0.0010760321359204	0.0010760321359207792	0.9189041095886876	0.9189041095891578	0.0017434668635157	0.0017434668635165629	0.9499492729115084	0.9499492729118066	0.0031803382691267	0.0031803382691270032	0.9725621060436392	0.9725621060437922	0.0031803382691267	0.0031803382691270032	0.9725621060436392	0.9725621060437922
BTC/USDT	2023-01-08 01:45:00		0.0538194444444444	0.05381944444444445	1	1	0.0008818758852732	0.0008818758852722208	0.7200267916952209	0.7200267916946596	0.0015310263192404	0.0015310263192405138	0.585262345678201	0.5852623456790526	0.0028706743485766	0.0028706743485753528	0.7788065843617762	0.7788065843621143	0.0185412485188853	0.018541248518885722	0.9562918126791304	0.956291812679195
BTC/USDT	2023-01-09 02:00:00		0.9659722222222222	0.9659722222222222	5	5	0.0044110047243318	0.0044110047243325345	0.6611755403267591	0.6611755403268359	0.0049899926928926	0.004989992692892797	0.7004892823858107	0.7004892823858382	0.0069077450104424	0.0069077450104432225	0.7836404948245003	0.7836404948245405	0.0157419620367581	0.015741962036758594	0.7251477104874109	0.7251477104874422
BTC/USDT	2023-01-10 02:15:00		0.3319444444444444	0.33194444444444443	3	3	0.0030641683162907	0.0030641683162900835	0.7481959741738977	0.7481959741739986	0.0050955035977505	0.0050955035977503504	0.5500742263331952	0.5500742263332057	0.0091622473050331	0.009162247305033122	0.7497777213260214	0.7497777213260375	0.0211605668420457	0.021160566842044592	0.8916570422922432	0.891657042292245
BTC/USDT	2023-01-11 02:30:00		0.4201388888888889	0.4201388888888889	3	3	0.0036553479841903	0.003655347984191315	0.8553706030150335	0.8553706030150815	0.0040267377683886	0.004026737768389244	0.7764789736277903	0.7764789736279266	0.0060599102809521	0.006059910280953207	0.5159609737613855	0.5159609737614581	0.0563553861564036	0.0563553861564029	0.8925919512716802	0.8925919512716818
BTC/USDT	2023-01-12 02:45:00		0.9989583333333332	0.9989583333333333	5	5	0.0023803325435495	0.002380332543550412	0.7528841716659068	0.7528841716659065	0.0091302833880897	0.009130283388090854	0.7961381135708229	0.7961381135707553	0.0268251504596456	0.026825150459644953	0.645939969698228	0.6459399696982107	0.0672792700167073	0.06727927001670742	0.7424550404492937	0.7424550404493079
