bucket	T_h	n	R_flip_mine_mean	R_flip_mine_sd	R_flip_run8	diff_mine_minus_run8	dR_mine	dR_run8	dR_run8_file	cap_run8_file_pct
[0,0.05)	1	531	0.7818781100120691	0.00038956839437231727	0.781828938887727	4.917112434210669e-05	0.005753536434569378	0.00580270755891149	0.0058027075589114	0.0037650281819719
[0,0.05)	4	531	0.7761385202696228	0.0002145511213441245	0.7756662107386383	0.0004723095309845382	0.012187882910901898	0.012660192441886176	0.0126601924418861	0.0174788673801565
[0,0.05)	12	531	0.7738115605642971	0.0005701190371398714	0.7736898971261227	0.00012166343817443526	0.020240792560107634	0.020362455998282084	0.020362455998282	0.0573398404189516
[0,0.05)	24	531	0.7730846866383362	0.0006037925936145161	0.7738046170407408	-0.0007199304024045894	0.01639587988313423	0.015675949480729652	0.0156759494807296	0.0668786483254367
[0.05,0.10)	1	459	0.7803980155334443	0.00041899113905821683	0.7803210225372141	7.699299623020739e-05	-0.0058075292192941415	-0.005730536223063825	-0.0057305362230638	-0.0040340782823241
[0.05,0.10)	4	459	0.7763599186089097	0.0002697896035241784	0.7758794692610816	0.00048044934782809356	0.004828866410315401	0.005309315758143516	0.0053093157581435	0.0084144013853976
[0.05,0.10)	12	459	0.7739698190386523	0.0004065099016066388	0.7738728843437568	9.693469489546747e-05	-0.004466416887692992	-0.004369482192797597	-0.0043694821927975	-0.0130323780436334
[0.05,0.10)	24	459	0.7732273920553606	0.0003942147596713173	0.773828303253132	-0.0006009111977713921	0.007428877691007969	0.006827966493236644	0.0068279664932366	0.0313346013933486
[0.10,0.25)	1	1335	0.7807296376360022	0.0004659721189981119	0.7808675382213418	-0.00013790058533957872	-0.0015340614240335656	-0.0016719620093731138	-0.0016719620093731	-0.0014420171633157
[0.10,0.25)	4	1335	0.7756152227861891	0.00012844653510502287	0.7754514866936759	0.0001637360925131892	0.003013429211603307	0.003177165304116432	0.0031771653041164	0.0059303572562746
[0.10,0.25)	12	1335	0.7738567343089073	0.000511162216679124	0.7739254241365294	-6.868982762209264e-05	0.007539052160697658	0.007470362333075406	0.0074703623330754	0.0262110470257306
[0.10,0.25)	24	1335	0.7733387777453583	0.0005720989826771711	0.7732375445640998	0.00010123318125854208	0.017018180000932914	0.017119413182191554	0.0171194131821915	0.0886018380124257
[0.25,0.50)	1	2117	0.7799536514222534	0.00011440637040277097	0.7793530925698049	0.000600558852448474	-0.0006192911629471434	-1.8732310498633464e-05	-1.8732310498635358e-05	-1.746334039389829e-05
[0.25,0.50)	4	2117	0.775410548530738	6.123582387560932e-05	0.7749635466576807	0.00044700187305724004	-4.455337135158928e-05	0.00040244850170575313	0.0004024485017057	0.0007989017302082
[0.25,0.50)	12	2117	0.7737309831113133	6.502900272389974e-05	0.7737203211079537	1.0662003359529493e-05	0.004607473598986978	0.004618135602346369	0.0046181356023463	0.0169133573993166
[0.25,0.50)	24	2117	0.7730353920091394	0.00011437160205142661	0.7731962404725797	-0.00016084846344033288	0.010144504188123309	0.00998365572468303	0.009983655724683	0.0553795454154012
[0.50,0.75)	1	2232	0.7790260616963117	0.0001648909059797162	0.7793853960986398	-0.0003593344023280487	-0.010508006636325444	-0.01086734103865345	-0.0108673410386534	-0.0121362683720923
[0.50,0.75)	4	2232	0.7751117691865822	0.0001953059312887785	0.7746270813383823	0.00048468784819988286	-0.0012578562951321194	-0.0007731684469323415	-0.0007731684469323	-0.0018407869647062
[0.50,0.75)	12	2232	0.7737851365418947	0.00013599890221854967	0.7737007426562876	8.439388560710359e-05	0.0001459333725460381	0.00023032725815320162	0.0002303272581532	0.0009767808232458
[0.50,0.75)	24	2232	0.7733560139497732	0.00023148003882757727	0.773201401095078	0.00015461285469520192	-0.0013332364188550746	-0.0011786235641599826	-0.0011786235641599	-0.0072683106743897
[0.75,1.0]	1	2336	0.7768173232047705	0.0002893055813678007	0.7769458435318184	-0.0001285203270479096	-0.01023525579497862	-0.010363776122026672	-0.0103637761220266	-0.0160357651407036
[0.75,1.0]	4	2336	0.7742295394282331	0.00014921472398673861	0.7744163424854645	-0.00018680305723139945	-0.005019882602147686	-0.0052066856593792656	-0.0052066856593792	-0.0157983305162436
[0.75,1.0]	12	2336	0.7732649200970231	0.00010530137824182188	0.7733330688728756	-6.814877585248347e-05	-0.004734474561799924	-0.004802623337652541	-0.0048026233376525	-0.0242991073420196
[0.75,1.0]	24	2336	0.7727795930604042	9.452875309699147e-05	0.7728395627048463	-5.996964444210384e-05	-0.0017547110888198627	-0.0018146807332620881	-0.001814680733262	-0.0129126552700357
