half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	40	hold	auto	30	1	0.02	0.00011	12470	-0.129748	-1	-0.222711	-0.0197177	0.0677425	0.18218	-0.144226	-0.11545	0.0785886	0.1441	-0.156489	-0.0419257	main
1.5	40	hold	auto	30	7	0.02	0.00011	12470	-0.429338	-1	-1	-0.512062	0.124509	0.552848	-0.469612	-0.387738	0.480513	0.551621	-0.290318	-0.120558	main
1.5	40	hold	auto	30	30	0.02	0.00011	12470	-0.717255	-1	-1	-1	-1	0.948788	-0.761699	-0.670896	0.830072	1.55221	-0.431986	-0.1895	main
1.5	40	recover	auto	3	1	0.02	0.00011	12470	-0.00419374	-0.0398768	-0.00440573	0.00230754	0.00448229	0.00914092	-0.00500547	-0.00342335	0			-0.00167382	main
1.5	40	recover	auto	3	7	0.02	0.00011	12470	-0.00554972	-0.0712055	0.00192084	0.00350698	0.00592138	0.0116264	-0.0071657	-0.0038875	8.01925e-05			-0.00182953	main
1.5	40	recover	auto	3	30	0.02	0.00011	12470	-0.00749553	-0.0761442	0.00237038	0.00389273	0.00634045	0.0122209	-0.0109281	-0.00443859	0.00144346			-0.00183508	main
1.5	40	recover	auto	5	1	0.02	0.00011	12470	-0.00698001	-0.0664614	-0.00734288	0.0038459	0.00747048	0.0152349	-0.00833076	-0.00570142	0.000160385			-0.0027897	main
1.5	40	recover	auto	5	7	0.02	0.00011	12470	-0.00934617	-0.118676	0.0032014	0.00584497	0.00986896	0.0193773	-0.0120206	-0.0065591	0.000801925			-0.00304922	main
1.5	40	recover	auto	5	30	0.02	0.00011	12470	-0.012058	-0.128268	0.00394496	0.00648425	0.0105646	0.0203648	-0.0172543	-0.00731693	0.00368885			-0.00305842	main
1.5	40	recover	auto	10	1	0.02	0.00011	12470	-0.0139577	-0.132923	-0.0146858	0.00769179	0.014941	0.0304697	-0.0166003	-0.0114499	0.000801925			-0.0055794	main
1.5	40	recover	auto	10	7	0.02	0.00011	12470	-0.019331	-0.23783	0.00639896	0.0116876	0.0197348	0.0387351	-0.024926	-0.0134546	0.00689655			-0.00609838	main
1.5	40	recover	auto	10	30	0.02	0.00011	12470	-0.0250989	-0.287018	0.00785517	0.0129076	0.0210208	0.0406137	-0.0345932	-0.0161747	0.0234964			-0.00611594	main
1.5	40	recover	auto	15	1	0.02	0.00011	12470	-0.0214608	-0.199689	-0.022046	0.0115337	0.0224055	0.0457046	-0.0255737	-0.017512	0.00408982			-0.00836905	main
1.5	40	recover	auto	15	7	0.02	0.00011	12470	-0.031298	-0.376409	0.00955335	0.0174905	0.0295225	0.0580587	-0.0401966	-0.0220982	0.0221331			-0.00914649	main
1.5	40	recover	auto	15	30	0.02	0.00011	12470	-0.0373311	-0.681587	0.0115558	0.0191495	0.0313647	0.0607608	-0.0494784	-0.0255609	0.0471532			-0.0091698	main
1.5	40	recover	auto	30	1	0.02	0.00011	12470	-0.0438401	-0.41679	-0.0445097	0.023005	0.0447987	0.091371	-0.0511239	-0.0365679	0.0249399			-0.0167371	main
1.5	40	recover	auto	30	7	0.02	0.00011	12470	-0.0644873	-1	0.0181936	0.0343631	0.0584393	0.115273	-0.0784181	-0.050674	0.0851644			-0.0182774	main
