bucket	T_h	n	R_act_mean	R_flip_mean	dR	amp_mean_pct	cap_pct	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0,0.05)	1	531	0.7876316464466384	0.7814384722674915	0.006193174179146873	0.64883989822817	0.004018378504106987	-0.01062950204340836	0.02258003881875196	-0.021674085224116117	0.031992008444133885	-0.006795693162606803	0.014978898843185163	-0.013215871368728975	0.021786494682876835
[0,0.05)	4	531	0.7883264031805245	0.7763776405025691	0.011948762677955617	1.3806162473745494	0.016496655889208154	-0.007964805806986424	0.030434273680840663	-0.019289124004490853	0.04030927266586146	-0.010858992900823315	0.04288573943425481	-0.026426592993473608	0.05916586980105634
[0,0.05)	12	531	0.7940523531244047	0.7737269064471078	0.020325446677296827	2.815958960146516	0.05723562368991422	0.00388693336819493	0.03687851813549017	-0.006096281565038077	0.04573526371446536	0.01070990925641832	0.10785586973302365	-0.015537516900353465	0.13790303345850854
[0,0.05)	24	531	0.7894805665214706	0.7731356744970287	0.016344892024441636	4.2663220117958485	0.06973257262430176	0.0009678557844104972	0.03207336737583274	-0.008054560837045442	0.04172257611933342	0.004175221286850412	0.14058190321334432	-0.03338898639977836	0.18912721969414234
[0.05,0.10)	1	459	0.7745904863141504	0.7799212651835191	-0.005330778869368857	0.7039617455148522	-0.003752664397834591	-0.02026098823361557	0.01068875790575581	-0.02822461696788721	0.0201043096684441	-0.01413150363406351	0.007647665622537753	-0.019524905729714798	0.014895263856120283
[0.05,0.10)	4	459	0.7811887850192251	0.7760746821571177	0.005114102862107463	1.584837249977361	0.008105020716083744	-0.010885583823424232	0.02061369519634356	-0.020169614024415642	0.029546994575261495	-0.016586550541122177	0.03427162567340402	-0.030543575592066934	0.05170268512121716
[0.05,0.10)	12	459	0.7695034021509594	0.7735028067146211	-0.0039994045636617655	2.9825909498190013	-0.011928587856242392	-0.01951197533250078	0.012308327092017528	-0.02912325901667824	0.021879786807082434	-0.0572760599660489	0.0376479124663443	-0.08545531814157942	0.06700904716431062
[0.05,0.10)	24	459	0.7806562697463686	0.772816001511359	0.007840268235009802	4.5891557060783335	0.03598021170787994	-0.00804645079957747	0.02437859873585315	-0.017340908678965098	0.034662067408695006	-0.03556535043710048	0.11477978069687372	-0.07647070526103121	0.16876704222716887
[0.10,0.25)	1	1335	0.7791955762119687	0.7809015317766875	-0.0017059555647188846	0.8624700532857431	-0.0014713355868062063	-0.013551045165316869	0.010240032199965157	-0.020156833802286826	0.01662909574087837	-0.011448915703223537	0.009091313556010876	-0.01662076568986493	0.014859967774177914
[0.10,0.25)	4	1335	0.7786286519977925	0.7754748750690119	0.0031537769287804615	1.8665560928136422	0.0058867015417902666	-0.007301793741178947	0.013924990224096035	-0.013751256792719884	0.020352375661399247	-0.01331344496490804	0.026651260201021754	-0.024648838284320088	0.039685027730853556
