seed	bucket	T_h	dR	lo95	hi95	loADJ	hiADJ	sig95	sigADJ	cap_hiADJ_pct
1	[0,0.05)	1	0.005802707558911486	-0.011244832957670677	0.022432243583290004	-0.020858745465070137	0.03191451234325482	False	False	0.021468879841027626
1	[0,0.05)	4	0.012660192441886172	-0.006891327511954364	0.031096013811596098	-0.018319513297115238	0.04065385897820683	False	False	0.05918046643182278
1	[0,0.05)	12	0.020362455998282077	0.00463776133393116	0.036766119055878795	-0.004635872747849071	0.045439678722281086	True	False	0.13665093056988523
1	[0,0.05)	24	0.015675949480729645	5.019958784601295e-05	0.031745277996619865	-0.01023733800235357	0.041387348738275556	True	False	0.18316525950536117
1	[0.05,0.10)	1	-0.005730536223063829	-0.020904610752264418	0.01070061881193029	-0.029349693140946473	0.020274344429100928	False	False	0.014920614635438036
1	[0.05,0.10)	4	0.005309315758143511	-0.010495201145226618	0.021135047011572736	-0.01964958294142676	0.029690054728966735	False	False	0.05029515736753001
1	[0.05,0.10)	12	-0.0043694821927976	-0.01985337675592479	0.012109773326659795	-0.0288786881783871	0.021428162070518734	False	False	0.06747900995629585
1	[0.05,0.10)	24	0.006827966493236634	-0.008654062624004026	0.02355234400342051	-0.017365176082406616	0.03239371208027687	False	False	0.1555430709582751
1	[0.10,0.25)	1	-0.0016719620093731114	-0.013477673509934026	0.01034255855108379	-0.020060386793296654	0.016977869168679327	False	False	0.015317611573720196
1	[0.10,0.25)	4	0.003177165304116432	-0.007438884651404817	0.014017222961129385	-0.013636412495871166	0.019852028916517613	False	False	0.03880241681367073
1	[0.10,0.25)	12	0.0074703623330754036	-0.0023983500013176062	0.01744160463489557	-0.008188218190363679	0.022766752581588178	False	False	0.0830798042273011
1	[0.10,0.25)	24	0.017119413182191547	0.007370560501121841	0.027231117216029402	0.0017494629339293952	0.03288537252365321	True	True	0.17778517176973602
1	[0.25,0.50)	1	-1.873231049863745e-05	-0.009361328392524368	0.009472548202617958	-0.014433031757324804	0.014937759303264745	False	False	0.014012119026585777
1	[0.25,0.50)	4	0.0004024485017057482	-0.008099609856784247	0.008854465648019219	-0.012794286179223593	0.013293781122375945	False	False	0.02689863384972392
1	[0.25,0.50)	12	0.004618135602346366	-0.005249252543556914	0.01457202873451895	-0.010996570641891584	0.0203552382570609	False	False	0.07674078645313855
1	[0.25,0.50)	24	0.009983655724683026	0.0010512763378102317	0.019079037818614003	-0.004094243294788527	0.02425585155586815	True	False	0.1390744391562348
1	[0.50,0.75)	1	-0.01086734103865345	-0.0203376207056633	-0.001418751825171422	-0.02589897645843862	0.0046156660535718675	True	False	0.0052829372884662835
1	[0.50,0.75)	4	-0.000773168446932345	-0.0093924794248683	0.007664093805141118	-0.014493672545756422	0.012180418600017492	False	False	0.03075134653042001
1	[0.50,0.75)	12	0.00023032725815319953	-0.009515031407851206	0.009736170673276767	-0.014874714583096043	0.015252896330636648	False	False	0.06616342781460559
1	[0.50,0.75)	24	-0.0011786235641599847	-0.010332761198631564	0.007831439489174448	-0.01538039419811284	0.012816651909195176	False	False	0.08420076459877887
1	[0.75,1.0]	1	-0.010363776122026675	-0.02059979944423026	0.00016395584803762382	-0.027297538858192225	0.005770498291102327	False	False	0.009090391879223043
1	[0.75,1.0]	4	-0.0052066856593792656	-0.014241543226788436	0.003745583138933346	-0.0195117934323803	0.00944211231869995	False	False	0.02946176592614715
1	[0.75,1.0]	12	-0.004802623337652543	-0.01518052863318445	0.005664183708945229	-0.020416279970286066	0.011936885293850404	False	False	0.062407078587618306
1	[0.75,1.0]	24	-0.0018146807332620903	-0.011732532419595485	0.008070796543739536	-0.01715702782494894	0.014310391904310006	False	False	0.10250750770549676
2	[0,0.05)	1	0.005802707558911486	-0.011413792706734413	0.022092383166234207	-0.02147851250268526	0.0314090828833927	False	False	0.02156216888546224
2	[0,0.05)	4	0.012660192441886172	-0.007110811428287304	0.031246568863065503	-0.01964452950016207	0.04155903772635405	False	False	0.05857598295063508
2	[0,0.05)	12	0.020362455998282077	0.004169615437612016	0.036948662984047545	-0.004664946156421818	0.04635682228202555	True	False	0.14149700883655641
2	[0,0.05)	24	0.015675949480729645	0.00015953386854852678	0.03146338517792848	-0.00853127230923758	0.04065825378510678	True	False	0.1836940865624203
2	[0.05,0.10)	1	-0.005730536223063829	-0.02095956627382271	0.010690226180134307	-0.02882731375937684	0.019618673530959252	False	False	0.014602313597046031
2	[0.05,0.10)	4	0.005309315758143511	-0.010581479946522377	0.020593210581677325	-0.020166173823087837	0.03005135365223166	False	False	0.050825289287725735
2	[0.05,0.10)	12	-0.0043694821927976	-0.02011275640187187	0.01185869988729148	-0.027905738561706524	0.021968630327832275	False	False	0.06993696754502023
2	[0.05,0.10)	24	0.006827966493236634	-0.008873155008575198	0.023250121400485064	-0.017875428495012273	0.03269302808209167	False	False	0.15716422778484734
2	[0.10,0.25)	1	-0.0016719620093731114	-0.013568044742778186	0.010382163687390105	-0.019928035169408848	0.01725090247814326	False	False	0.015449942923713903
2	[0.10,0.25)	4	0.003177165304116432	-0.007451955815331812	0.013787300478864001	-0.013441140563080578	0.020118366044729687	False	False	0.038587360113902215
2	[0.10,0.25)	12	0.0074703623330754036	-0.002445061205978344	0.0175665908681568	-0.008496258527116695	0.023363233460162246	False	False	0.08386834879664269
2	[0.10,0.25)	24	0.017119413182191547	0.007271638513999556	0.027199422779311394	0.0016479205942346892	0.0331076678685839	True	True	0.17869191446064112
2	[0.25,0.50)	1	-1.873231049863745e-05	-0.00937403565244384	0.009353618324926479	-0.014181774482481804	0.015079423356992538	False	False	0.014426471361025926
2	[0.25,0.50)	4	0.0004024485017057482	-0.00807712763202708	0.008962705829548062	-0.012921474876619194	0.01408998023532904	False	False	0.028374399898951897
2	[0.25,0.50)	12	0.004618135602346366	-0.00534299379208562	0.014567632213844427	-0.01030742633055191	0.019916348815255523	False	False	0.07471917273486364
2	[0.25,0.50)	24	0.009983655724683026	0.0009280774401090835	0.018847435984145244	-0.00414614915157452	0.023962905616534382	True	False	0.13674147381537505
2	[0.50,0.75)	1	-0.01086734103865345	-0.02054356615310142	-0.0013036887075555162	-0.026336619797853247	0.004304015866310027	True	False	0.0050388858604572305
2	[0.50,0.75)	4	-0.000773168446932345	-0.009348612135063647	0.0077358222522673405	-0.01424152331323429	0.012596848618563574	False	False	0.03174508539342312
