scope	T_h	n	amp_spot_pct	amp_perp_pct	amp_ratio	R_spot	R_perp	R_diff	R_absdiff_mean
ALL	1	9010	1.0987489893249471	1.1166458352493607	1.0162883844247346	0.773575402969639	0.7700604870261656	-0.003514915943473418	0.023980043441946052
ALL	4	9010	2.2815617268189836	2.3163507990003853	1.0152479206556053	0.7749391483353614	0.7734536341877302	-0.0014855141476312061	0.014251241539755728
ALL	12	9010	4.060629574068693	4.127474480019506	1.0164617098731898	0.7756327433638501	0.7748279617065073	-0.000804781657342879	0.01015011626551812
ALL	24	9010	5.927928589632497	6.0334354027372115	1.0177982597984123	0.7785707825984479	0.7776950517575499	-0.0008757308408979814	0.008546048594234183
HEADLINE[0.10,0.25)	24	1335	5.175518405303383	5.271761061587283	1.0185957519125581	0.7903569577462908	0.7897998334356051	-0.0005571243106856638	0.008499765497466663
