bucket	T_h	n	R_act_mean	R_act_med	R_flip_mean	dR	dR_mirror	dR_consv	amp_mean_pct	absnet_mean_pct	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	dRm_lo95	dRm_hi95	dRm_loADJ	dRm_hiADJ	cap_pct	cap_consv_pct	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0,0.05)	1	531	0.7876316464466385	0.8028169014084287	0.781828938887727	0.005802707558911491	0.005869018387025638	0.005802707558911491	0.6488398982281749	0.32805148962893904	-0.011012784134274966	0.022219649350541427	-0.021448084504118965	0.030329927411631114	-0.011041798623886144	0.02233314633678477	-0.02158400678203927	0.031132490729407016	0.0037650281819719927	0.0037650281819719927	-0.0070820755351887945	0.014880379589666731	-0.013768116730739202	0.020957482525659422
[0,0.05)	4	531	0.7883264031805245	0.8157894736842417	0.7756662107386383	0.012660192441886172	0.012675014356845477	0.012660192441886172	1.380616247374554	0.6780828392849161	-0.007434584011004453	0.031118365266486373	-0.01792053553510572	0.040741105792973624	-0.0069570218287419335	0.031079520152850378	-0.01805453038149825	0.04047713306252759	0.01747886738015658	0.01747886738015658	-0.009186779606351173	0.04359158743951561	-0.02756754881043998	0.05905705284965969
[0,0.05)	12	531	0.7940523531244046	0.8217821782178267	0.7736898971261227	0.020362455998282084	0.02026571872237412	0.02026571872237412	2.81595896014652	1.4557833837705787	0.004033484382506075	0.03690481920520913	-0.004470285250377415	0.04630374216048066	0.004145770683106958	0.036687885763872746	-0.004826753364781609	0.04689869146334556	0.05733984041895168	0.057067432220078484	0.011742392128892224	0.10835678070372956	-0.012260254753756826	0.13797459198097103
[0,0.05)	24	531	0.7894805665214706	0.826203208556155	0.7738046170407408	0.015675949480729652	0.015845445168908828	0.015675949480729652	4.266322011795854	2.092062118362574	5.189205333591192e-05	0.03194502590635834	-0.009358086878323157	0.040595028754551184	0.0002103747103731775	0.03178642894238016	-0.01016587342200165	0.04100476769831218	0.0668786483254367	0.0668786483254367	0.0010420750928316002	0.14035700091198816	-0.04309680290671809	0.1838109484447973
[0.05,0.10)	1	459	0.7745904863141504	0.779600454767198	0.7803210225372141	-0.005730536223063825	-0.005683359480438696	-0.005683359480438696	0.7039617455148572	0.32682370649254927	-0.02088776122484757	0.010528326386615088	-0.029763239508661724	0.0204090485819797	-0.0211344842287362	0.010549395495948044	-0.030357796050424986	0.02024483621630247	-0.004034078282324128	-0.004000867660238036	-0.014712744880689625	0.0076713033721299215	-0.020584180666979292	0.01444101163106268
[0.05,0.10)	4	459	0.7811887850192251	0.8035714285714365	0.7758794692610816	0.005309315758143515	0.005483256737380403	0.005309315758143515	1.5848372499773662	0.736294916199565	-0.010806348526844431	0.020730955561833065	-0.018637847123016162	0.029918154659441424	-0.010307625382041254	0.02095588423574356	-0.018755424500869727	0.029247607485164213	0.008414401385397664	0.008414401385397664	-0.016440606929617334	0.034047592277435514	-0.029713805590196807	0.05182027928110289
[0.05,0.10)	12	459	0.7695034021509594	0.7812500000000234	0.7738728843437568	-0.004369482192797599	-0.00428208712861323	-0.00428208712861323	2.982590949819006	1.3351661721510926	-0.01975053064604851	0.011908064846607476	-0.02871878614404299	0.020668323467541442	-0.019976514805478702	0.011849929555473787	-0.027823674562574157	0.021437248827505317	-0.013032378043633426	-0.012771714316138274	-0.05839990878541237	0.03637412458202522	-0.08252290456416692	0.06783742114833127
[0.05,0.10)	24	459	0.7806562697463687	0.794377928162426	0.773828303253132	0.006827966493236643	0.006807369810366374	0.006807369810366374	4.589155706078337	2.1402515426797777	-0.008899259461139442	0.023348477671749704	-0.0177498758186864	0.03317809641366531	-0.008833604081933441	0.023225996239670036	-0.01764396872439886	0.032304809035158394	0.031334601393348635	0.03124008000862825	-0.04031574457145026	0.11013424359848283	-0.08011881659681813	0.15775501243381457
[0.10,0.25)	1	1335	0.7791955762119687	0.7900466562984856	0.7808675382213418	-0.001671962009373113	-0.0016111977899801577	-0.0016111977899801577	0.8624700532857479	0.4227831308325883	-0.013467850804487752	0.010383209043042392	-0.019624648213722822	0.01777587292696529	-0.013386065880942025	0.010351072935612984	-0.019689043822409397	0.01690281024946008	-0.001442017163315775	-0.0013896098437780658	-0.011305854770078614	0.009059386997127513	-0.017237224583000015	0.015141857559942672
[0.10,0.25)	4	1335	0.7786286519977925	0.791666666666628	0.7754514866936759	0.0031771653041164334	0.0033087080330400057	0.0031771653041164334	1.866556092813647	0.8975372440716958	-0.007494270621374118	0.013785650888125067	-0.013986282541250531	0.020382131715986608	-0.007333470338328631	0.014090835293694388	-0.01354708602219052	0.020055744951179972	0.005930357256274653	0.005930357256274653	-0.01329735484749908	0.027140547017961238	-0.023637145451484085	0.03973168559263776
