segment	T	n_lo	n_hi	p80_lo	p80_hi	diff_p80	ci_lo	ci_hi
EXT_P1(2023-01~2024-12)	1h	314	1837	0.956	2.14	1.184	0.919	1.473
EXT_P1(2023-01~2024-12)	4h	314	1837	1.904	3.725	1.821	1.312	2.422
EXT_P1(2023-01~2024-12)	12h	314	1837	3.607	6.606	2.999	1.995	4.036
EXT_P1(2023-01~2024-12)	24h	314	1837	6.067	9.738	3.671	2.069	4.904
EXT_P2(2025-01~2026-06)	1h	317	1187	0.938	2.017	1.079	0.769	1.401
EXT_P2(2025-01~2026-06)	4h	317	1187	1.915	3.649	1.734	1.265	2.379
EXT_P2(2025-01~2026-06)	12h	317	1187	3.626	6.187	2.561	1.638	3.463
EXT_P2(2025-01~2026-06)	24h	317	1187	6.66	9.444	2.784	1.234	4.175
