seed	n_weeks	M	alpha_adj	conf_pct	dR_lo	dR_hi	significant
20260808	128	24	0.0020833333333333333	99.79166666666667	0.001794167941833984	0.032963904162314935	True
20260808	128	28	0.0017857142857142859	99.82142857142857	0.001567721692356592	0.03320323935859624	True
20260808	128	29	0.001724137931034483	99.82758620689656	0.0015074022564550277	0.033242394891716466	True
20260808	128	30	0.0016666666666666668	99.83333333333333	0.001457060491025148	0.033286717971368444	True
20260808	128	36	0.001388888888888889	99.86111111111111	0.001181422499899982	0.033597804057048195	True
20260808	128	48	0.0010416666666666667	99.89583333333333	0.0008670155982012347	0.034088492317683	True
20260808	128	60	0.0008333333333333334	99.91666666666667	0.0005304288053142049	0.03451110345831022	True
20260808	128	72	0.0006944444444444445	99.93055555555556	0.0002664329695564065	0.03475053950086645	True
20260808	128	96	0.0005208333333333333	99.94791666666667	-3.657006838476408e-05	0.03508965931574783	False
20260808	128	120	0.0004166666666666667	99.95833333333334	-0.00027860196369090524	0.03534948939929779	False
990017	128	24	0.0020833333333333333	99.79166666666667	0.0016779802117179148	0.033075055374222735	True
990017	128	28	0.0017857142857142859	99.82142857142857	0.0014198181374203667	0.03337889220832347	True
990017	128	29	0.001724137931034483	99.82758620689656	0.0013687695038400224	0.033410425908126866	True
990017	128	30	0.0016666666666666668	99.83333333333333	0.0013136162541347736	0.03346447613175215	True
990017	128	36	0.001388888888888889	99.86111111111111	0.001085539837259741	0.033716700613008674	True
990017	128	48	0.0010416666666666667	99.89583333333333	0.0006728447146161346	0.03406913190760802	True
990017	128	60	0.0008333333333333334	99.91666666666667	0.0002761760554177882	0.034339365694918654	True
990017	128	72	0.0006944444444444445	99.93055555555556	-1.26525397336431e-05	0.034575972110315024	False
990017	128	96	0.0005208333333333333	99.94791666666667	-0.00032575401702345056	0.03496123289455647	False
990017	128	120	0.0004166666666666667	99.95833333333334	-0.00044353221565245933	0.035217090941432695	False
424242	128	24	0.0020833333333333333	99.79166666666667	0.0019167940644391657	0.03294344336561386	True
424242	128	28	0.0017857142857142859	99.82142857142857	0.0017216040281016623	0.03312437386677394	True
424242	128	29	0.001724137931034483	99.82758620689656	0.0016776133169708364	0.03317488816212672	True
424242	128	30	0.0016666666666666668	99.83333333333333	0.0016343810529800416	0.033208417752966075	True
424242	128	36	0.001388888888888889	99.86111111111111	0.0013315139126380848	0.03348497861407323	True
424242	128	48	0.0010416666666666667	99.89583333333333	0.0009053555920603156	0.033882539113932034	True
424242	128	60	0.0008333333333333334	99.91666666666667	0.0005684655359242375	0.03430427790735919	True
424242	128	72	0.0006944444444444445	99.93055555555556	0.0003344123515910339	0.034565802337555684	True
424242	128	96	0.0005208333333333333	99.94791666666667	-0.0001878974847750361	0.03508758500379126	False
424242	128	120	0.0004166666666666667	99.95833333333334	-0.0004144342614908706	0.03533169150129718	False
