ts	pair	grade	ret_24h	net_24h	mfe_24h	mae_24h
2026-05-01T03:15:00+00:00	ADA/USDT	A	-0.0040112314480545	-0.0060112314480545	0.00882470918572	-0.0092258323305254
2026-05-01T13:45:00+00:00	ADA/USDT	B	-0.0067864271457086	-0.0087864271457086	0.0019960079840319	-0.0139720558882235
2026-05-02T21:30:00+00:00	ADA/USDT	A	-0.0127084988085783	-0.0147084988085783	0.001191421763304	-0.017077045274027
2026-05-04T02:00:00+00:00	ADA/USDT	B	-0.0047505938242279	-0.0067505938242279	0.009501187648456	-0.0221694378463974
2026-05-08T21:30:00+00:00	ADA/USDT	B	-0.0183982683982684	-0.0203982683982684	0.0046897546897548	-0.0277777777777776
2026-05-10T15:30:00+00:00	ADA/USDT	B	0.0176703930760908	0.0156703930760908	0.0411107104219257	-0.0119004688063467
2026-05-14T18:15:00+00:00	ADA/USDT	B	-0.0542299349240781	-0.0562299349240781	0.0137382501807663	-0.0715835140997832
2026-05-25T08:45:00+00:00	ADA/USDT	B	-0.0158536585365852	-0.0178536585365852	0.0081300813008129	-0.0268292682926829
2026-05-29T15:30:00+00:00	ADA/USDT	B	0.000847098686997	-0.0011529013130029	0.013977128335451	-0.0232952138924185
2026-06-07T22:00:00+00:00	ADA/USDT	B	0.0245656081485921	0.022565608148592	0.0455362492510484	-0.0413421210305571
2026-06-10T12:30:00+00:00	ADA/USDT	B	0.0246609124537606	0.0226609124537606	0.0363748458692971	-0.0246609124537607
2026-06-11T03:45:00+00:00	ADA/USDT	B	0.0312124849939976	0.0292124849939976	0.0324129651860742	-0.0150060024009603
2026-06-11T17:30:00+00:00	ADA/USDT	B	0.0195497630331753	0.0175497630331753	0.0331753554502369	-0.0077014218009477
2026-06-14T21:15:00+00:00	ADA/USDT	B	0.053706946876824	0.051706946876824	0.1091652072387623	-0.002918855808523
2026-06-20T05:00:00+00:00	ADA/USDT	A	-0.0243309002433089	-0.0263309002433089	0.0012165450121655	-0.0267639902676398
2026-06-22T01:15:00+00:00	ADA/USDT	B	-0.0135970333745365	-0.0155970333745365	0.0092707045735476	-0.0284301606922126
2026-06-29T12:00:00+00:00	ADA/USDT	A	-0.0218281036834925	-0.0238281036834925	0.015006821282401	-0.0231923601637108
2026-07-01T03:30:00+00:00	ADA/USDT	B	0.0442655935613682	0.0422655935613682	0.0603621730382293	-0.0020120724346077
2026-07-06T15:45:00+00:00	ADA/USDT	B			0.0053734551316495	-0.0515851692638366
2026-05-01T03:15:00+00:00	AVAX/USDT	A	-0.0043620501635768	-0.0063620501635768	0.010905125408942	-0.0119956379498363
2026-05-02T21:30:00+00:00	AVAX/USDT	A	-0.015200868621064	-0.017200868621064	0.002171552660152	-0.0260586319218241
2026-05-10T08:00:00+00:00	AVAX/USDT	A	0.0049950049950051	0.0029950049950051	0.0479520479520481	-0.0069930069930069
2026-05-20T15:15:00+00:00	AVAX/USDT	B	0.0059937921438508	0.0039937921438508	0.0186235684469655	-0.0131649363159583
2026-05-23T20:30:00+00:00	AVAX/USDT	B	-0.0281705001055074	-0.0301705001055074	0.0118168389955686	-0.0358725469508335
2026-05-26T10:15:00+00:00	AVAX/USDT	A	-0.0272765867119508	-0.0292765867119508	0.0072171513479091	-0.0400127361494375
